StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:04,11/11/22 9:05,0,100,40,1,11/11/22 9:05,R_3pmcWFhqxUMjcVO,,,,,35.9452,-83.9435,anonymous,EN,1,2,2,4,5,4,4,5,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:02,11/11/22 9:06,0,100,243,1,11/11/22 9:06,R_A0Pt82aYKPtOpUJ,,,,,35.8697,-83.7462,anonymous,EN,1,2,2,5,5,4,5,5,Great talk
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:14,11/11/22 9:14,8,100,28,1,11/11/22 9:14,R_1QFVNKZ3CQ13hDC,,,,,35.9539,-83.9357,anonymous,EN,1,1,2,4,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:14,11/11/22 9:15,0,100,15,1,11/11/22 9:15,R_UfoJ4sw0i93IFI5,,,,,35.9438,-84.0217,anonymous,EN,1,2,2,5,5,4,5,5,__
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:15,11/11/22 9:16,0,100,33,1,11/11/22 9:16,R_b3f06hZkrTtKdFv,,,,,35.9539,-83.9357,anonymous,EN,1,2,2,2,3,2,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:16,11/11/22 9:17,0,100,103,1,11/11/22 9:17,R_OkRzmlC7ulA4irL,,,,,35.8974,-83.9425,anonymous,EN,2,1,2,5,4,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:19,11/11/22 9:19,0,100,21,1,11/11/22 9:19,R_1DM6DZfTdRdkL1H,,,,,35.9539,-83.9357,anonymous,EN,1,2,3,5,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:19,11/11/22 9:19,0,100,22,1,11/11/22 9:19,R_3KYJ7FXPSQJNdad,,,,,35.9452,-83.9435,anonymous,EN,1,3,2,5,5,5,5,5,'-Awesome job!!!!
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:20,11/11/22 9:21,0,100,81,1,11/11/22 9:21,R_2Vg0A0mIlLu3kNM,,,,,35.9539,-83.9357,anonymous,EN,2,2,2,4,5,5,5,5,Very prepared for the talk. The speaker was confident and the data was easy to follow
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:09,11/11/22 9:22,0,100,790,1,11/11/22 9:22,R_3GBOKzkFYIzF8LZ,,,,,35.9243,-83.9965,anonymous,EN,1,2,2,5,4,3,4,5,What percentage of your total data make sense?
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:22,11/11/22 9:23,0,100,53,1,11/11/22 9:23,R_2D5H2R79WjHJlHy,,,,,35.9539,-83.9357,anonymous,EN,1,3,2,5,5,5,4,5,Your hypotheses are good but I think aliens are a better explanation for your observations. 
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:26,11/11/22 9:27,0,100,40,1,11/11/22 9:27,R_ZwV3tPdkQ6r89YB,,,,,35.9539,-83.9357,anonymous,EN,2,1,1,4,5,5,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:29,11/11/22 9:29,0,100,17,1,11/11/22 9:29,R_1jUQtcBxSeEOe2u,,,,,35.8974,-83.9425,anonymous,EN,1,2,2,5,5,5,5,5,
